channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
bidirectionalExtensionBoard,unknown,0.00104,19,00 08 61 1E 72 AD B3 00 35 00 00 00 00 00 00 00 B8 00 EF,0x00,False
bidirectionalExtensionBoard,toACdisplay,0.8232725,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F3 F0 BC 00 66,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.021708,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 30 00 00 00 00 00 00 00 01 00 00 00 00 00 00 22 00 EF,0x55,True
bidirectionalExtensionBoard,toACdisplay,1.9223845,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 AD 61 00 A9,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,2.119719,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 60 00 EF,0x55,True
bidirectionalExtensionBoard,toACdisplay,3.0214685,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FC 19 70 00 3D,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,3.21959375,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 41 35 35 00 04 E4 03 4C 79 38 3C 38 00 00 00 00 00 00 00 00 00 42 00 EF,0x55,True
bidirectionalExtensionBoard,toACdisplay,4.120526,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 86 DB E5 00 7B,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,4.317341,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 42 7F 7F 00 00 00 00 00 00 40 01 00 00 00 00 00 00 00 00 00 00 C8 00 EF,0x55,True
bidirectionalExtensionBoard,toACdisplay,5.21957975,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 DC 5A 00 7A,0xAA,True
