name,type,start_time,duration,"data"
"bidirectionalExtensionBoard","data",9.81969725,0.00395825,0xFF
"wifiBrown","data",9.81980025,0.0009895,0xFF
"mainboardBlue","data",9.8477395,0.0009895,0xFF
"mainboardGrey","data",10.67428775,0.0009895,0xAA
"mainboardGrey","data",10.67533825,0.0009895,0xFF
"mainboardGrey","data",10.676389,0.0009895,0x0A
"mainboardGrey","data",10.6774395,0.0009895,0x95
"mainboardGrey","data",10.67849,0.0009895,0xE7
"mainboardGrey","data",10.679541,0.0009895,0x0F
"mainboardGrey","data",10.68059175,0.0009895,0x59
"mainboardGrey","data",10.68164225,0.0009895,0x01
"mainboardGrey","data",10.682693,0.0009895,0x31
"mainboardGrey","data",10.6837435,0.0009895,0xE1
"bidirectionalExtensionBoard","data",10.6988195,0.00395825,0xAA
"bidirectionalExtensionBoard","data",10.70299225,0.00395825,0xBC
"mainboardBlue","data",10.704455,0.0009895,0xAA
"mainboardBlue","data",10.705505,0.0009895,0xFF
"mainboardBlue","data",10.70655475,0.0009895,0x0A
"bidirectionalExtensionBoard","data",10.70716125,0.00395825,0x22
"mainboardBlue","data",10.7076045,0.0009895,0x95
"mainboardBlue","data",10.7086545,0.0009895,0xE7
"mainboardBlue","data",10.7097045,0.0009895,0x0F
"mainboardBlue","data",10.7107545,0.0009895,0x59
"bidirectionalExtensionBoard","data",10.71133075,0.00395825,0xAC
"mainboardBlue","data",10.7118045,0.0009895,0x01
"mainboardBlue","data",10.712854,0.0009895,0x31
"mainboardBlue","data",10.71390425,0.0009895,0xE1
"bidirectionalExtensionBoard","data",10.7155,0.00395825,0x00
"bidirectionalExtensionBoard","data",10.71966975,0.00395825,0x00
"bidirectionalExtensionBoard","data",10.72383875,0.00395825,0x00
"bidirectionalExtensionBoard","data",10.7280085,0.00395825,0x00
"bidirectionalExtensionBoard","data",10.73217775,0.00395825,0x00
"bidirectionalExtensionBoard","data",10.7363475,0.00395825,0x03
"bidirectionalExtensionBoard","data",10.74051725,0.00395825,0x03
"bidirectionalExtensionBoard","data",10.7446865,0.00395825,0x41
"bidirectionalExtensionBoard","data",10.74885625,0.00395825,0x81
"bidirectionalExtensionBoard","data",10.75302575,0.00395825,0x00
"mainboardGrey","data",10.75437325,0.0009895,0xAA
"mainboardGrey","data",10.75542375,0.0009895,0x50
"mainboardGrey","data",10.7564745,0.0009895,0x15
